City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tamale,GH,82.54,clear sky,9.4008,-0.8393,Tap Hotel
1,Vaini,TO,81.1,clear sky,-21.2,-175.2,Keleti Beach Resort
4,Diamantino,BR,84.18,broken clouds,-14.4086,-56.4461,Hotel Delta
6,Faanui,PF,81.39,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,São Filipe,CV,75.18,overcast clouds,14.8961,-24.4956,Hotel Xaguate
10,Cape Town,ZA,70.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
13,East London,ZA,74.66,clear sky,-33.0153,27.9116,Tu Casa
15,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
23,Rikitea,PF,78.48,light rain,-23.1203,-134.9692,People ThankYou
24,Comodoro Rivadavia,AR,75.06,scattered clouds,-45.8667,-67.5,Austral Hotel
25,Empalme,MX,72.36,broken clouds,27.9667,-110.8167,casa alejandro lopez
27,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Riberalta,BO,86.2,light rain,-10.9833,-66.1,Hotel Colonial
29,Castro,BR,87.19,clear sky,-24.7911,-50.0119,CHACARA BAILLY
31,Fayaoué,NC,80.4,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
32,Varadero,CU,70.56,overcast clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
34,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
36,Mahibadhoo,MV,81.64,scattered clouds,3.7833,72.9667,Omadhoo Inn
38,Atuona,PF,78.28,light rain,-9.8,-139.0333,Villa Enata
44,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Rawson,AR,77.56,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
50,Banjar,ID,82.26,broken clouds,-8.19,114.9675,The Hamsa Resort
53,Mar del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
55,Hilo,US,78.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Codrington,AU,71.42,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
59,Carnarvon,AU,78.87,light rain,-24.8667,113.6333,Hospitality Carnarvon
63,Kapaa,US,76.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Rabaul,PG,80.37,overcast clouds,-4.1967,152.1721,Rabaul Hotel
68,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
71,Tsabong,BW,72.14,broken clouds,-26.0217,22.401,Springbok Motel
72,Hithadhoo,MV,81.99,few clouds,-0.6,73.0833,Scoop Guest House
77,Port Alfred,ZA,74.88,clear sky,-33.5906,26.891,The Halyards Hotel
83,Buala,SB,81.23,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
95,Adiaké,CI,80.19,clear sky,5.2863,-3.304,Monhotel résidence Inn Adiake
97,Sechura,PE,81.84,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
104,Mossamedes,AO,75.45,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
106,Magdalena,PH,76.42,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
