City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Tamale,GH,9.4008,-0.8393,82.54,13,1,6.89,clear sky,2022-01-23 20:11:31
1,Vaini,TO,-21.2,-175.2,81.1,69,9,9.35,clear sky,2022-01-23 20:11:31
2,Mataura,NZ,-46.1927,168.8643,53.47,68,96,1.32,overcast clouds,2022-01-23 20:11:31
3,Pakxan,LA,18.3778,103.6601,65.5,75,6,3.91,clear sky,2022-01-23 20:11:32
4,Diamantino,BR,-14.4086,-56.4461,84.18,68,74,3.47,broken clouds,2022-01-23 20:11:32
5,Provideniya,RU,64.3833,-173.3,6.08,97,100,7.52,light snow,2022-01-23 20:11:32
6,Faanui,PF,-16.4833,-151.75,81.39,72,96,18.03,overcast clouds,2022-01-23 20:11:33
7,Dudinka,RU,69.4058,86.1778,-16.76,100,100,5.3,overcast clouds,2022-01-23 20:11:33
8,São Filipe,CV,14.8961,-24.4956,75.18,70,100,11.01,overcast clouds,2022-01-23 20:11:33
9,Dikson,RU,73.5069,80.5464,-10.8,100,100,15.41,overcast clouds,2022-01-23 20:11:34
10,Cape Town,ZA,-33.9258,18.4232,70.88,87,10,3.0,clear sky,2022-01-23 20:09:22
11,Aykhal,RU,66.0,111.5,-7.65,100,86,7.11,overcast clouds,2022-01-23 20:11:34
12,Tasiilaq,GL,65.6145,-37.6368,15.96,50,85,16.33,overcast clouds,2022-01-23 20:11:34
13,East London,ZA,-33.0153,27.9116,74.66,75,0,23.35,clear sky,2022-01-23 20:11:35
14,Twin Falls,US,42.3505,-114.6445,25.93,86,100,3.44,overcast clouds,2022-01-23 20:11:35
15,Grand Gaube,MU,-20.0064,57.6608,79.38,84,80,1.01,broken clouds,2022-01-23 20:11:35
16,Klaksvík,FO,62.2266,-6.589,40.12,68,100,28.52,overcast clouds,2022-01-23 20:11:36
17,Kasongo-Lunda,CD,-6.4667,16.8167,69.46,92,63,1.07,broken clouds,2022-01-23 20:11:36
18,Kaitangata,NZ,-46.2817,169.8464,54.93,64,86,1.3,overcast clouds,2022-01-23 20:11:36
