incident_type_code,incident_type,call_received,last_updated,address,city,latitude,longitude
83P,SHOTS FIRED,2023-06-18T21:08:06.000,2023-06-18T22:36:03.000,1601 TARRYWOOD LN,UNA,36.092021940606585,-86.64765016033559
71A,NON-RESIDENCE-BURGLARY ALARM,2023-06-18T22:06:18.000,2023-06-18T22:36:03.000,5270 HICKORY HOLLOW PKWY,ANTIOCH,36.04843955,-86.65622558176506
71A,NON-RESIDENCE-BURGLARY ALARM,2023-06-18T17:44:12.000,2023-06-18T22:36:03.000,5022 OLD HYDES FERRY PIKE,SCOTTSBORO,36.20962201898641,-86.92436884880216
83P,SHOTS FIRED,2023-06-18T18:43:48.000,2023-06-18T22:36:03.000,1403 CAMPBELL RD,UNION HILL,37.189589,-78.9211256
83P,SHOTS FIRED,2023-06-18T22:26:56.000,2023-06-18T22:36:03.000,3940 APACHE TRL,ANTIOCH,36.067387610622376,-86.69225481442996
83P,SHOTS FIRED,2023-06-18T22:27:32.000,2023-06-18T22:36:03.000,300 BAKERTOWN RD,ANTIOCH,36.0865646,-86.6915231
70P,BURGLARY-RESIDENCE BREAK-IN,2023-06-18T18:53:02.000,2023-06-18T22:36:03.000,1190 OLD HICKORY BLVD,BELLSHIRE,36.27146694740285,-86.76092978166925
70A,RESIDENCE-BURGLARY ALARM,2023-06-18T21:58:19.000,2023-06-18T22:36:03.000,618 STOCKELL ST,EAST,36.18168336449601,-86.77047626962909
64P,CORPSE/D.O.A,2023-06-18T19:57:00.000,2023-06-18T22:36:03.000,5325 BUENA VISTA PIKE,BORDEAUX,36.1940926,-86.8308363
83P,SHOTS FIRED,2023-06-18T22:30:21.000,2023-06-18T22:36:03.000,6410 CHARLOTTE PIKE,WEST,36.1318416,-86.8952977
