City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muros,ES,2022-01-20 21:31:28,42.7762,-9.0603,53.1,66,0,15.46
1,Bluff,NZ,2022-01-20 21:31:29,-46.6,168.3333,56.8,71,67,15.5
2,Iqaluit,CA,2022-01-20 21:30:13,63.7506,-68.5145,-25.31,74,20,5.01
3,Eureka,US,2022-01-20 21:31:29,40.8021,-124.1637,60.67,82,54,7.0
4,Busselton,AU,2022-01-20 21:31:30,-33.65,115.3333,73.09,45,13,7.92
5,Lorengau,PG,2022-01-20 21:31:30,-2.0226,147.2712,81.72,78,100,7.9
6,Quatre Cocos,MU,2022-01-20 21:31:30,-20.2078,57.7625,80.71,82,53,11.7
7,Mataura,NZ,2022-01-20 21:31:31,-46.1927,168.8643,56.48,59,65,9.4
8,Rikitea,PF,2022-01-20 21:31:31,-23.1203,-134.9692,78.58,73,100,8.95
9,Lompoc,US,2022-01-20 21:31:32,34.6391,-120.4579,79.02,62,0,11.5
10,Punta Arenas,CL,2022-01-20 21:31:32,-53.15,-70.9167,68.11,40,0,6.91
11,North Bend,US,2022-01-20 21:31:32,43.4065,-124.2243,56.25,99,100,10.36
12,Sibolga,ID,2022-01-20 21:31:33,1.7427,98.7792,74.61,79,60,3.31
13,Poum,NC,2022-01-20 21:31:33,-20.2333,164.0167,81.36,75,70,3.22
14,Esperance,AU,2022-01-20 21:31:33,-33.8667,121.9,57.04,86,0,6.58
15,Feira De Santana,BR,2022-01-20 21:31:34,-12.2667,-38.9667,75.96,78,46,7.16
16,Ushuaia,AR,2022-01-20 21:31:25,-54.8,-68.3,74.86,31,0,5.75
17,Flinders,AU,2022-01-20 21:31:34,-34.5833,150.8552,69.19,82,87,5.01
18,Matamoros,MX,2022-01-20 21:31:35,25.5333,-103.25,64.51,35,100,11.5
19,Ilinskiy,RU,2022-01-20 21:31:35,55.619,38.1182,27.28,93,100,8.95
20,Hilo,US,2022-01-20 21:31:35,19.7297,-155.09,77.4,80,100,10.36
21,Solnechnyy,RU,2022-01-20 21:31:35,50.7214,136.6319,-12.86,94,29,3.22
22,Jamestown,US,2022-01-20 21:31:36,42.097,-79.2353,16.92,44,100,13.8
23,Touros,BR,2022-01-20 21:31:36,-5.1989,-35.4608,83.3,69,26,11.63
24,Cape Town,ZA,2022-01-20 21:27:37,-33.9258,18.4232,67.08,74,0,5.01
25,Ribeira Grande,PT,2022-01-20 21:31:37,38.5167,-28.7,64.8,63,40,10.36
26,Provideniya,RU,2022-01-20 21:31:37,64.3833,-173.3,-0.29,65,0,11.18
27,Butaritari,KI,2022-01-20 21:31:37,3.0707,172.7902,81.61,72,81,17.45
28,New Norfolk,AU,2022-01-20 21:31:38,-42.7826,147.0587,63.75,59,81,1.36
29,Saint Anthony,US,2022-01-20 21:31:38,45.0205,-93.218,5.02,60,0,3.0
30,Caravelas,BR,2022-01-20 21:31:39,-17.7125,-39.2481,75.94,84,0,4.9
31,Banda Aceh,ID,2022-01-20 21:31:39,5.5577,95.3222,77.09,81,62,2.75
32,Cherskiy,RU,2022-01-20 21:31:39,68.75,161.3,-38.13,99,23,2.01
33,Nanchang,CN,2022-01-20 21:31:40,28.6833,115.8833,48.34,86,99,6.62
34,Erzin,TR,2022-01-20 21:31:40,36.9559,36.2,34.52,58,0,3.0
35,Poltavskaya,RU,2022-01-20 21:31:40,45.362,38.2154,35.13,97,82,14.67
36,Bredasdorp,ZA,2022-01-20 21:31:41,-34.5322,20.0403,60.12,82,0,3.44
37,Hermanus,ZA,2022-01-20 21:31:41,-34.4187,19.2345,63.9,81,0,7.56
38,Bambous Virieux,MU,2022-01-20 21:31:41,-20.3428,57.7575,80.85,89,40,8.05
39,Thompson,CA,2022-01-20 21:31:42,55.7435,-97.8558,-5.64,71,20,11.5
40,Bud,US,2022-01-20 21:31:42,39.447,-86.1758,24.89,64,99,9.95
41,Puerto Ayora,EC,2022-01-20 21:31:43,-0.7393,-90.3518,82.36,93,93,4.0
42,Chokurdakh,RU,2022-01-20 21:31:43,70.6333,147.9167,-34.44,97,80,6.58
43,Ilorin,NG,2022-01-20 21:32:43,8.5,4.55,79.48,19,43,6.85
44,Bethel,US,2022-01-20 21:31:49,41.3712,-73.414,32.76,57,0,14.97
45,Panaba,MX,2022-01-20 21:32:44,21.2833,-88.2667,83.41,48,12,14.74
46,Yellowknife,CA,2022-01-20 21:32:44,62.456,-114.3525,-6.59,95,100,16.11
47,Avarua,CK,2022-01-20 21:32:44,-21.2078,-159.775,78.85,94,100,13.8
48,Qaanaaq,GL,2022-01-20 21:32:45,77.484,-69.3632,13.05,91,100,10.96
49,Narsaq,GL,2022-01-20 21:32:45,60.9167,-46.05,26.82,91,100,22.84
50,Tiksi,RU,2022-01-20 21:32:45,71.6872,128.8694,-11.79,95,99,10.67
51,Vardo,NO,2022-01-20 21:32:46,70.3705,31.1107,33.78,86,75,37.98
52,College,US,2022-01-20 21:32:46,64.8569,-147.8028,-0.42,78,20,5.75
53,Wiarton,CA,2022-01-20 21:32:47,44.7407,-81.1332,8.96,66,20,5.75
54,Petropavlovsk-Kamchatskiy,RU,2022-01-20 21:32:47,53.0452,158.6483,25.39,54,75,11.18
55,Barrow,US,2022-01-20 21:32:47,71.2906,-156.7887,-16.58,76,100,6.91
56,Kaniama,CD,2022-01-20 21:32:48,-7.5667,24.1833,66.63,96,100,2.82
57,Kapaa,US,2022-01-20 21:32:48,22.0752,-159.319,81.48,76,40,1.99
58,Mayahi,NE,2022-01-20 21:32:49,13.9553,7.6712,57.36,16,0,11.01
59,Ensenada,MX,2022-01-20 21:32:49,31.8667,-116.6167,69.94,66,0,7.16
60,Nyzhnya Krynka,UA,2022-01-20 21:32:49,48.1135,38.1606,24.89,88,77,11.72
61,Tuatapere,NZ,2022-01-20 21:32:50,-46.1333,167.6833,56.82,68,72,7.99
62,Sarishabari,BD,2022-01-20 21:32:50,24.7333,89.8333,62.02,64,10,6.4
63,Klaksvik,FO,2022-01-20 21:32:50,62.2266,-6.589,45.52,89,98,24.09
64,Cayenne,GF,2022-01-20 21:32:51,4.9333,-52.3333,79.09,89,75,5.99
65,Xining,CN,2022-01-20 21:30:05,36.6167,101.7667,24.51,48,86,0.85
66,Lao Cai,VN,2022-01-20 21:32:51,22.4833,103.95,58.82,97,93,1.95
67,Kaitangata,NZ,2022-01-20 21:32:52,-46.2817,169.8464,59.94,60,73,12.62
68,Te Anau,NZ,2022-01-20 21:32:52,-45.4167,167.7167,59.38,64,59,2.39
69,Impfondo,CG,2022-01-20 21:32:52,1.6381,18.0667,74.66,54,100,2.3
70,Port Alfred,ZA,2022-01-20 21:32:53,-33.5906,26.891,70.74,86,20,20.29
71,Constitucion,CL,2022-01-20 21:30:57,-35.3333,-72.4167,63.01,54,0,15.64
72,Pundaguitan,PH,2022-01-20 21:32:53,6.3711,126.1689,79.52,78,100,8.57
73,Kashary,RU,2022-01-20 21:32:54,49.04,41.0056,6.62,99,97,6.38
74,Shelkovskaya,RU,2022-01-20 21:32:54,43.5069,46.3392,22.87,89,69,4.88
75,Mbigou,GA,2022-01-20 21:32:54,-1.9005,11.906,68.05,96,68,2.71
76,Albany,US,2022-01-20 21:32:10,42.6001,-73.9662,23.58,54,21,10.0
77,Tura,IN,2022-01-20 21:32:55,25.5198,90.2201,51.91,91,50,3.94
78,Tiarei,PF,2022-01-20 21:32:55,-17.5333,-149.3333,86.02,78,100,21.0
79,Buala,SB,2022-01-20 21:32:55,-8.145,159.5921,80.11,86,97,7.58
80,Praia Da Vitoria,PT,2022-01-20 21:32:56,38.7333,-27.0667,62.85,94,40,18.86
81,Comodoro Rivadavia,AR,2022-01-20 21:32:56,-45.8667,-67.5,58.86,94,75,12.66
82,Victoria,HK,2022-01-20 21:30:50,22.2855,114.1577,63.95,82,97,1.99
83,Kavieng,PG,2022-01-20 21:32:57,-2.5744,150.7967,81.37,77,100,6.73
84,Arraial Do Cabo,BR,2022-01-20 21:32:57,-22.9661,-42.0278,80.56,83,0,10.36
85,Necochea,AR,2022-01-20 21:30:04,-38.5473,-58.7368,73.04,86,93,16.82
86,Souillac,MU,2022-01-20 21:32:57,-20.5167,57.5167,80.98,89,40,8.05
87,Atambua,ID,2022-01-20 21:32:58,-9.1061,124.8925,72.95,97,100,8.77
88,Sioux Lookout,CA,2022-01-20 21:32:58,50.1001,-91.917,-5.42,71,40,9.22
89,Quang Ngai,VN,2022-01-20 21:32:58,15.1167,108.8,66.27,92,38,4.5
90,Jacareacanga,BR,2022-01-20 21:32:58,-6.2222,-57.7528,76.32,96,91,2.39
91,Yar,RU,2022-01-20 21:33:59,58.249,52.1026,20.07,90,100,13.24
92,Cidreira,BR,2022-01-20 21:33:59,-30.1811,-50.2056,78.3,90,4,12.71
93,Cabo San Lucas,MX,2022-01-20 21:33:23,22.8909,-109.9124,77.5,69,100,5.75
94,Morant Bay,JM,2022-01-20 21:34:00,17.8815,-76.4093,83.82,76,12,12.57
95,Clyde River,CA,2022-01-20 21:34:00,70.4692,-68.5914,-0.17,71,100,2.3
96,Olafsvik,IS,2022-01-20 21:34:00,64.8945,-23.7142,44.53,92,100,27.6
97,Carnarvon,AU,2022-01-20 21:34:01,-24.8667,113.6333,71.67,78,0,0.0
98,Toumodi,CI,2022-01-20 21:34:01,6.5613,-5.0158,68.5,17,93,2.21
99,Dikson,RU,2022-01-20 21:34:02,73.5069,80.5464,3.25,94,100,14.41
100,Faanui,PF,2022-01-20 21:34:02,-16.4833,-151.75,81.05,75,100,21.68
101,Saint-Paul,RE,2022-01-20 21:34:03,-21.0096,55.2707,77.09,84,77,0.6
102,Karratha,AU,2022-01-20 21:34:03,-20.7377,116.8463,83.91,67,16,9.48
103,Saint-Philippe,RE,2022-01-20 21:34:03,-21.3585,55.7679,76.55,83,74,9.08
104,Isla Mujeres,MX,2022-01-20 21:34:04,21.2311,-86.731,82.45,78,19,8.79
105,Ancud,CL,2022-01-20 21:31:44,-41.8697,-73.8203,59.23,69,88,12.21
106,Saint-Denis,FR,2022-01-20 21:34:04,48.9167,2.3333,40.14,82,100,1.99
107,Amboasary,MG,2022-01-20 21:34:05,-25.0333,46.3833,75.04,85,96,10.25
